         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:260(get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:641(wait)
      107    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      257    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hmac.py:19(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:119(__init__)
      257    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hmac.py:20(<genexpr>)
       39    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       51    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/fnmatch.py:1(<module>)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:167(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1058(join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:336(__init__)
       84    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:238(register)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:620(set)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:701(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:910(__reduce__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:533(Pipe)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:436(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:128(seed)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:173(Pool)
       92    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      8/3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:177(getwidth)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:31(Full)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:61(_cleanup)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:500(_flush_std_streams)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:530(close_fds)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/shared_memory.py:259(ShareableList)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1607(__and__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:153(is_alive)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:389(_mk_bitmap)
       70    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:239(__next)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:544(decorating_function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:327(wait)
        2    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:745(__init__)
       49    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:97(closegroup)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/_distutils_hack/__init__.py:108(<lambda>)
       42    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.curs_set}
       56    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.resize_term}
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       51    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/curses/__init__.py:42(start_color)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:428(notify_all)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       47    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tempfile.py:877(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x70dc6b85ad40}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:255(match)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:592(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.endwin}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1429(current_thread)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:115(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:40(Queue)
       44    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1049(_delete)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:501(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:273(getuntil)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:213(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_weakrefset.py:39(_remove)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tempfile.py:1056(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:132(CalledProcessError)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/context.py:366(get_spawning_popen)
      5/4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:398(notify)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:103(Random)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:85(opengroup)
        2    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
       28    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:745(ApplyResult)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:494(BaseManager)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.start_color}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/traceback.py:997(TracebackException)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:448(_uniq)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:163(__len__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:292(tell)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/traceback.py:428(StackSummary)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/resource_tracker.py:65(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:371(_escape)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:142(Server)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/shared_memory.py:50(SharedMemory)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/spawn.py:36(set_executable)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:281(__init__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:175(append)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:315(_PySimpleQueue)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:476(CompletedProcess)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:68(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1167(ListProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:206(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _curses.nocbreak}
        1    0.000    0.000    0.000    0.000 {method 'join' of '_thread._ThreadHandle' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1150(ValueProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/resource_tracker.py:63(ResourceTracker)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen os>:844(fsencode)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:112(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:235(LazyLoader)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/popen_fork.py:13(Popen)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1267(_make_invoke_excepthook)
       11    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:108(_del_safe)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/hmac.py:27(HMAC)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/traceback.py:276(FrameSummary)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1024(_set_native_id)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:303(checkgroupname)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:838(<genexpr>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/collections/__init__.py:432(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       13    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:272(close)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_colorize.py:13(ANSIColors)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1589(_get_value)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1096(name)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:119(_incompatible_extension_module_restrictions)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1186(DictProxy)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.set_escdelay}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:364(Connection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:921(ThreadPool)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:219(_fileobj_lookup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:880(SystemRandom)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_256}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1112(BarrierProxy)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1290(SharedMemoryServer)
        1    0.000    0.000    0.000    0.000 {built-in method select.poll}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_128}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.13/__future__.py:83(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:843(_newname)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:439(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:435(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:169(TimeoutExpired)
       10    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:448(Listener)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tempfile.py:323(_RandomNameSequence)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:66(wraps)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:303(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1020(_set_ident)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1060(AcquirerProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:249(Finalize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1253(_SharedMemoryTracker)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        4    0.000    0.000    0.000    0.000 {built-in method maketrans}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        1    0.000    0.000    0.000    0.000 {built-in method posix.confstr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:225(__init_subclass__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1335(SharedMemoryManager)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tempfile.py:624(_TemporaryFileCloser)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:280(PriorityQueue)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       11    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:71(__getstate__)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:312(_release_save)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.cbreak}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1027(Value)
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1307(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:63(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:189(name)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/context.py:237(get_context)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:21(_fileobj_to_fd)
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1073(ConditionProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1046(IteratorProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tempfile.py:667(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:122(RLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/importlib/_abc.py:6(Loader)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:573(isstring)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:605(is_set)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/__future__.py:81(_Feature)
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:299(LifoQueue)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:62(Token)
        1    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1015(Namespace)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:452(ForkAwareLocal)
        1    0.000    0.000    0.000    0.000 <frozen runpy>:26(_TempModule)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:315(_acquire_restore)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/process.py:193(name)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/traceback.py:974(_ExceptionPrintContext)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1100(EventProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:80(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1206(PoolProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:150(_PoolCache)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:837(IMapIterator)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:168(_LazyModule)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:954(fix_flags)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1131(NamespaceProxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:57(RemoteTraceback)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:171(__setitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:596(SocketListener)
        1    0.000    0.000    0.000    0.000 <frozen runpy>:49(_ModifiedArgv0)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.noecho}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:970(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1156(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:129(SubprocessError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:475(State)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:744(ProcessLocalSet)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:563(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:73(SpecialFileError)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:794(MapResult)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:63(ExceptionWithTraceback)
        1    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/traceback.py:94(_Sentinel)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:53(info)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:1216(SyncManager)
        1    0.000    0.000    0.000    0.000 {built-in method _curses.echo}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/managers.py:113(RemoteError)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/util.py:109(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 <frozen runpy>:166(_Error)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:67(Error)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/resource_tracker.py:59(ReentrantCallError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/pool.py:906(IMapUnorderedIterator)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:36(ShutDown)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/multiprocessing/connection.py:992(XmlListener)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:70(SameFileError)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1147(daemon)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:80(ReadError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:83(RegistryError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:77(ExecError)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/shutil.py:87(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/random.py:907(seed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:203(__enter__)


