         1539948 function calls (1534962 primitive calls) in 20.755 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58494    0.011    0.000    0.011    0.000 {method 'write' of '_io.BytesIO' objects}
     21/8    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.011    0.004 {built-in method builtins.__import__}
     4570    0.007    0.000    0.010    0.000 /usr/lib/python3.13/multiprocessing/connection.py:849(_get_digest_name_and_payload)
       11    0.000    0.000    0.010    0.001 /usr/lib/python3.13/multiprocessing/managers.py:727(temp)
     4570    0.003    0.000    0.010    0.000 /usr/lib/python3.13/hmac.py:66(_init_hmac)
     2285    0.009    0.000    0.009    0.000 {method 'connect' of '_socket.socket' objects}
     2285    0.009    0.000    0.009    0.000 /usr/lib/python3.13/socket.py:221(__init__)
     2287    0.001    0.000    0.009    0.000 /usr/lib/python3.13/multiprocessing/connection.py:131(__del__)
      140    0.000    0.000    0.008    0.000 <string>:1(put)
     4570    0.003    0.000    0.008    0.000 /usr/lib/python3.13/hmac.py:151(digest)
     1865    0.008    0.000    0.008    0.000 {method 'noutrefresh' of '_curses.window' objects}
     2287    0.001    0.000    0.008    0.000 /usr/lib/python3.13/multiprocessing/connection.py:376(_close)
    58493    0.007    0.000    0.007    0.000 /usr/lib/python3.13/multiprocessing/connection.py:135(_check_closed)
     2295    0.007    0.000    0.007    0.000 {built-in method posix.close}
     4570    0.007    0.000    0.007    0.000 {built-in method _hashlib.hmac_new}
    36102    0.006    0.000    0.006    0.000 {method 'getvalue' of '_io.BytesIO' objects}
    29246    0.006    0.000    0.006    0.000 {built-in method _struct.pack}
    29247    0.006    0.000    0.006    0.000 {built-in method _struct.unpack}
     1134    0.001    0.000    0.005    0.000 /usr/lib/python3.13/multiprocessing/util.py:238(register_after_fork)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/multiprocessing/connection.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.13/multiprocessing/shared_memory.py:1(<module>)
      101    0.000    0.000    0.005    0.000 <string>:1(get)
    22394    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     4570    0.004    0.000    0.004    0.000 {method 'digest' of '_hashlib.HMAC' objects}
     4570    0.003    0.000    0.004    0.000 /usr/lib/python3.13/multiprocessing/connection.py:96(address_type)
     1865    0.004    0.000    0.004    0.000 {method 'erase' of '_curses.window' objects}
       11    0.000    0.000    0.004    0.000 /usr/lib/python3.13/multiprocessing/managers.py:604(_create)
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.13/secrets.py:1(<module>)
     1134    0.002    0.000    0.003    0.000 /usr/lib/python3.13/weakref.py:164(__setitem__)
    29246    0.003    0.000    0.003    0.000 /usr/lib/python3.13/multiprocessing/connection.py:143(_check_writable)
     1133    0.002    0.000    0.003    0.000 /usr/lib/python3.13/multiprocessing/util.py:253(__init__)
    29247    0.003    0.000    0.003    0.000 /usr/lib/python3.13/multiprocessing/connection.py:139(_check_readable)
     8818    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     9448    0.003    0.000    0.003    0.000 {method 'getmaxyx' of '_curses.window' objects}
    15818    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.13/tempfile.py:1(<module>)
       28    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
    17372    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     2285    0.002    0.000    0.002    0.000 /usr/lib/python3.13/socket.py:507(detach)
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.13/multiprocessing/managers.py:538(start)
     7583    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.13/multiprocessing/util.py:1(<module>)
      746    0.001    0.000    0.002    0.000 /home/hawaf/.local/lib/python3.13/site-packages/lc3py/cli.py:278(move_and_resize)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.13/hmac.py:1(<module>)
     2285    0.002    0.000    0.002    0.000 {method 'setblocking' of '_socket.socket' objects}
     2287    0.002    0.000    0.002    0.000 /usr/lib/python3.13/multiprocessing/connection.py:118(__init__)
     6855    0.002    0.000    0.002    0.000 {method 'startswith' of 'bytes' objects}
       49    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.13/shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/base64.py:1(<module>)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
     7583    0.001    0.000    0.001    0.000 /usr/lib/python3.13/textwrap.py:112(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/multiprocessing/managers.py:661(_finalize_manager)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
